section,base,grade,suffix_axis,count,pct_of_base_grade
herbal-A,qok,eo,other,2,16.67
herbal-A,qot,bare,e_grade,35,52.24
herbal-A,qot,bare,paradigm,7,10.45
herbal-A,qot,bare,clitic,12,17.91
herbal-A,qot,bare,other,13,19.40
herbal-A,qot,e,e_grade,8,24.24
herbal-A,qot,e,aspect,17,51.52
herbal-A,qot,e,other,8,24.24
herbal-A,qot,o,e_grade,3,5.17
herbal-A,qot,o,o_grade,39,67.24
herbal-A,qot,o,aspect,4,6.90
herbal-A,qot,o,other,12,20.69
herbal-A,qot,eo,e_grade,1,25.00
herbal-A,qot,eo,o_grade,3,75.00
herbal-A,ok,bare,e_grade,40,18.35
herbal-A,ok,bare,paradigm,72,33.03
herbal-A,ok,bare,clitic,71,32.57
herbal-A,ok,bare,other,35,16.06
herbal-A,ok,e,e_grade,24,28.57
herbal-A,ok,e,aspect,33,39.29
herbal-A,ok,e,clitic,3,3.57
herbal-A,ok,e,other,24,28.57
herbal-A,ok,o,e_grade,4,7.27
herbal-A,ok,o,o_grade,31,56.36
herbal-A,ok,o,aspect,1,1.82
herbal-A,ok,o,other,19,34.55
herbal-A,ok,eo,e_grade,2,6.67
herbal-A,ok,eo,o_grade,13,43.33
herbal-A,ok,eo,aspect,6,20.00
herbal-A,ok,eo,paradigm,1,3.33
herbal-A,ok,eo,clitic,1,3.33
herbal-A,ok,eo,other,7,23.33
herbal-A,ot,bare,e_grade,40,28.17
herbal-A,ot,bare,paradigm,33,23.24
herbal-A,ot,bare,clitic,43,30.28
herbal-A,ot,bare,other,26,18.31
herbal-A,ot,e,e_grade,10,24.39
herbal-A,ot,e,aspect,23,56.10
herbal-A,ot,e,other,8,19.51
herbal-A,ot,o,e_grade,2,3.17
herbal-A,ot,o,o_grade,39,61.90
herbal-A,ot,o,aspect,1,1.59
herbal-A,ot,o,paradigm,1,1.59
herbal-A,ot,o,other,20,31.75
herbal-A,ot,eo,o_grade,11,47.83
herbal-A,ot,eo,aspect,3,13.04
herbal-A,ot,eo,other,9,39.13
pharm-herbal,ch,bare,e_grade,19,14.18
pharm-herbal,ch,bare,o_grade,3,2.24
pharm-herbal,ch,bare,aspect,28,20.90
pharm-herbal,ch,bare,paradigm,2,1.49
pharm-herbal,ch,bare,clitic,6,4.48
pharm-herbal,ch,bare,other,76,56.72
pharm-herbal,ch,e,e_grade,58,35.58
pharm-herbal,ch,e,aspect,19,11.66
pharm-herbal,ch,e,clitic,7,4.29
pharm-herbal,ch,e,other,79,48.47
pharm-herbal,ch,o,e_grade,12,4.26
pharm-herbal,ch,o,o_grade,112,39.72
pharm-herbal,ch,o,aspect,29,10.28
pharm-herbal,ch,o,other,129,45.74
pharm-herbal,ch,eo,e_grade,18,9.52
pharm-herbal,ch,eo,o_grade,78,41.27
pharm-herbal,ch,eo,aspect,26,13.76
pharm-herbal,ch,eo,other,67,35.45
pharm-herbal,sh,bare,e_grade,13,36.11
pharm-herbal,sh,bare,aspect,4,11.11
pharm-herbal,sh,bare,clitic,2,5.56
pharm-herbal,sh,bare,other,17,47.22
pharm-herbal,sh,e,e_grade,53,50.48
pharm-herbal,sh,e,aspect,13,12.38
pharm-herbal,sh,e,clitic,3,2.86
pharm-herbal,sh,e,other,36,34.29
pharm-herbal,sh,o,e_grade,12,11.32
pharm-herbal,sh,o,o_grade,29,27.36
pharm-herbal,sh,o,aspect,15,14.15
pharm-herbal,sh,o,clitic,1,0.94
pharm-herbal,sh,o,other,49,46.23
pharm-herbal,sh,eo,e_grade,12,12.24
pharm-herbal,sh,eo,o_grade,49,50.00
pharm-herbal,sh,eo,aspect,13,13.27
pharm-herbal,sh,eo,other,24,24.49
pharm-herbal,qok,bare,e_grade,15,30.00
pharm-herbal,qok,bare,paradigm,14,28.00
pharm-herbal,qok,bare,clitic,19,38.00
pharm-herbal,qok,bare,other,2,4.00
pharm-herbal,qok,e,e_grade,37,52.86
pharm-herbal,qok,e,aspect,9,12.86
pharm-herbal,qok,e,other,24,34.29
pharm-herbal,qok,o,e_grade,2,4.55
pharm-herbal,qok,o,o_grade,31,70.45
pharm-herbal,qok,o,aspect,1,2.27
pharm-herbal,qok,o,other,10,22.73
