section,trajectory,count
herbal-A,C0 -> C0 -> C1 -> C2 -> C2 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C2 -> C0 -> C0 -> C1 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C2 -> C0 -> C1 -> C2 -> C0 -> C0 -> C4,1
herbal-A,C0 -> C0 -> C2 -> C0 -> C3,1
herbal-A,C0 -> C0 -> C2 -> C0 -> C4 -> C1,1
herbal-A,C0 -> C0 -> C2 -> C1 -> C2 -> C0 -> C1 -> C1,1
herbal-A,C0 -> C0 -> C2 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C2 -> C2 -> C2 -> C1 -> C4,1
herbal-A,C0 -> C0 -> C2 -> C3 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C3 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C3 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C3 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C3 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C0 -> C0 -> C3 -> C2,1
herbal-A,C0 -> C0 -> C3 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C3,1
herbal-A,C0 -> C0 -> C3 -> C2 -> C1,1
herbal-A,C0 -> C0 -> C4 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C4 -> C0 -> C0 -> C1,1
herbal-A,C0 -> C0 -> C4 -> C1 -> C0,1
herbal-A,C0 -> C1 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C1 -> C0 -> C0 -> C2,1
herbal-A,C0 -> C1 -> C0 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C1 -> C0 -> C1 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C1 -> C0 -> C2 -> C2,1
herbal-A,C0 -> C1 -> C1 -> C0,1
herbal-A,C0 -> C1 -> C1 -> C1,1
herbal-A,C0 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2,1
herbal-A,C0 -> C1 -> C1 -> C1 -> C1 -> C2,1
herbal-A,C0 -> C1 -> C1 -> C3 -> C3,1
herbal-A,C0 -> C1 -> C2 -> C1,1
herbal-A,C0 -> C1 -> C2 -> C1 -> C0,1
herbal-A,C0 -> C1 -> C2 -> C2 -> C0 -> C1 -> C2,1
herbal-A,C0 -> C1 -> C2 -> C2 -> C1,1
herbal-A,C0 -> C1 -> C2 -> C2 -> C1 -> C1 -> C1 -> C2,1
herbal-A,C0 -> C1 -> C2 -> C2 -> C2,1
herbal-A,C0 -> C1 -> C3 -> C2 -> C2 -> C2,1
herbal-A,C0 -> C1 -> C3 -> C3 -> C2,1
herbal-A,C0 -> C2 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C2 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0,1
herbal-A,C0 -> C2 -> C0 -> C0 -> C1,1
herbal-A,C0 -> C2 -> C0 -> C0 -> C1 -> C1,1
herbal-A,C0 -> C2 -> C0 -> C0 -> C2,1
herbal-A,C0 -> C2 -> C0 -> C1 -> C4,1
herbal-A,C0 -> C2 -> C0 -> C2 -> C0 -> C0,1
herbal-A,C0 -> C2 -> C0 -> C2 -> C3 -> C0,1
herbal-A,C0 -> C2 -> C0 -> C3,1
herbal-A,C0 -> C2 -> C0 -> C4 -> C0,1
herbal-A,C0 -> C2 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C2 -> C1 -> C0 -> C0 -> C1,1
herbal-A,C0 -> C2 -> C1 -> C1,1
herbal-A,C0 -> C2 -> C1 -> C1 -> C2 -> C2 -> C4 -> C2,1
herbal-A,C0 -> C2 -> C1 -> C2 -> C1 -> C3,1
herbal-A,C0 -> C2 -> C1 -> C2 -> C3,1
herbal-A,C0 -> C2 -> C1 -> C3,1
herbal-A,C0 -> C2 -> C2 -> C1 -> C2,1
herbal-A,C0 -> C2 -> C2 -> C2 -> C0,1
herbal-A,C0 -> C2 -> C2 -> C2 -> C2 -> C1 -> C2 -> C2,1
herbal-A,C0 -> C2 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C0 -> C2 -> C3 -> C0,1
herbal-A,C0 -> C2 -> C3 -> C0 -> C2,1
herbal-A,C0 -> C2 -> C3 -> C2 -> C1,1
herbal-A,C0 -> C2 -> C3 -> C4 -> C0 -> C0,1
herbal-A,C0 -> C3 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C3 -> C0 -> C1,1
herbal-A,C0 -> C3 -> C0 -> C2 -> C0 -> C0,1
herbal-A,C0 -> C3 -> C1 -> C1 -> C0,1
herbal-A,C0 -> C3 -> C2,1
herbal-A,C0 -> C3 -> C2 -> C1,1
herbal-A,C0 -> C3 -> C2 -> C3 -> C3,1
herbal-A,C0 -> C4 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C4 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C4 -> C0 -> C2,1
herbal-A,C0 -> C4 -> C0 -> C2 -> C3,1
herbal-A,C0 -> C4 -> C1,1
herbal-A,C0 -> C4 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C4 -> C3 -> C3,1
herbal-A,C0 -> C4 -> C4 -> C0,1
herbal-A,C1 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C1 -> C0 -> C0 -> C0 -> C1,1
herbal-A,C1 -> C0 -> C0 -> C0 -> C4 -> C0,1
herbal-A,C1 -> C0 -> C0 -> C1 -> C1 -> C0 -> C2,1
herbal-A,C1 -> C0 -> C0 -> C3 -> C0 -> C1 -> C1,1
herbal-A,C1 -> C0 -> C0 -> C4 -> C3,1
herbal-A,C1 -> C0 -> C1 -> C1,1
herbal-A,C1 -> C0 -> C1 -> C1 -> C1 -> C0,1
herbal-A,C1 -> C0 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C0 -> C1 -> C3,1
herbal-A,C1 -> C0 -> C1 -> C4 -> C0,1
herbal-A,C1 -> C0 -> C2 -> C0 -> C0,1
herbal-A,C1 -> C0 -> C2 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C1 -> C0 -> C2 -> C1 -> C1 -> C1,1
herbal-A,C1 -> C0 -> C2 -> C1 -> C2,1
herbal-A,C1 -> C0 -> C2 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C0 -> C2 -> C1 -> C3 -> C2 -> C1 -> C1,1
herbal-A,C1 -> C0 -> C2 -> C2,1
herbal-A,C1 -> C0 -> C2 -> C3,1
herbal-A,C1 -> C0 -> C3,1
herbal-A,C1 -> C0 -> C4,1
herbal-A,C1 -> C0 -> C4 -> C0,1
herbal-A,C1 -> C0 -> C4 -> C0 -> C2,1
herbal-A,C1 -> C1 -> C0 -> C0,1
herbal-A,C1 -> C1 -> C0 -> C0 -> C0,1
herbal-A,C1 -> C1 -> C0 -> C0 -> C0 -> C0 -> C3,1
herbal-A,C1 -> C1 -> C0 -> C0 -> C2,1
herbal-A,C1 -> C1 -> C0 -> C1,1
herbal-A,C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C2,1
herbal-A,C1 -> C1 -> C0 -> C4 -> C0,1
herbal-A,C1 -> C1 -> C1 -> C0 -> C3,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C1,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C1 -> C0,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C1 -> C1,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C3,1
herbal-A,C1 -> C1 -> C1 -> C1 -> C3 -> C2,1
herbal-A,C1 -> C1 -> C1 -> C2 -> C1 -> C0 -> C0,1
herbal-A,C1 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C1 -> C1 -> C3 -> C1 -> C3,1
herbal-A,C1 -> C1 -> C1 -> C4 -> C3,1
herbal-A,C1 -> C1 -> C2,1
herbal-A,C1 -> C1 -> C2 -> C0 -> C1,1
herbal-A,C1 -> C1 -> C2 -> C0 -> C3 -> C1,1
herbal-A,C1 -> C1 -> C2 -> C1,1
herbal-A,C1 -> C1 -> C2 -> C1 -> C1 -> C1,1
herbal-A,C1 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C1 -> C2 -> C2 -> C2,1
herbal-A,C1 -> C1 -> C2 -> C2 -> C3 -> C2 -> C1,1
herbal-A,C1 -> C1 -> C2 -> C3,1
herbal-A,C1 -> C1 -> C2 -> C3 -> C1,1
herbal-A,C1 -> C1 -> C3 -> C1 -> C1,1
herbal-A,C1 -> C1 -> C3 -> C1 -> C2,1
herbal-A,C1 -> C1 -> C3 -> C3 -> C0 -> C1 -> C3,1
herbal-A,C1 -> C1 -> C3 -> C3 -> C1 -> C2,1
herbal-A,C1 -> C1 -> C3 -> C3 -> C3 -> C3 -> C1,1
herbal-A,C1 -> C1 -> C3 -> C4 -> C3,1
herbal-A,C1 -> C1 -> C4,1
herbal-A,C1 -> C2 -> C0,1
herbal-A,C1 -> C2 -> C0 -> C1 -> C2 -> C3,1
herbal-A,C1 -> C2 -> C0 -> C2 -> C2,1
herbal-A,C1 -> C2 -> C1 -> C0,1
herbal-A,C1 -> C2 -> C1 -> C0 -> C0 -> C2,1
herbal-A,C1 -> C2 -> C1 -> C0 -> C1 -> C3,1
herbal-A,C1 -> C2 -> C1 -> C1 -> C0 -> C3 -> C2,1
herbal-A,C1 -> C2 -> C1 -> C1 -> C1,1
herbal-A,C1 -> C2 -> C1 -> C1 -> C2 -> C1,1
herbal-A,C1 -> C2 -> C1 -> C1 -> C3,1
herbal-A,C1 -> C2 -> C1 -> C2 -> C1 -> C2,1
herbal-A,C1 -> C2 -> C2 -> C2 -> C0 -> C0,1
herbal-A,C1 -> C2 -> C2 -> C2 -> C1 -> C0 -> C1,1
herbal-A,C1 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C1 -> C2 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C1 -> C2 -> C2 -> C4,1
herbal-A,C1 -> C2 -> C4,1
herbal-A,C1 -> C3 -> C0,1
herbal-A,C1 -> C3 -> C0 -> C3 -> C3,1
herbal-A,C1 -> C3 -> C1 -> C0 -> C0 -> C3,1
herbal-A,C1 -> C3 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C3 -> C1 -> C1 -> C3 -> C2,1
herbal-A,C1 -> C3 -> C1 -> C2 -> C2 -> C1,1
herbal-A,C1 -> C3 -> C1 -> C3 -> C3,1
herbal-A,C1 -> C3 -> C2,1
herbal-A,C1 -> C3 -> C2 -> C0 -> C0 -> C0 -> C3,1
herbal-A,C1 -> C3 -> C2 -> C1 -> C0 -> C2 -> C2 -> C2,1
herbal-A,C1 -> C3 -> C2 -> C2,1
herbal-A,C1 -> C3 -> C3 -> C1,1
herbal-A,C1 -> C3 -> C3 -> C1 -> C3 -> C1,1
herbal-A,C1 -> C3 -> C3 -> C1 -> C4,1
herbal-A,C1 -> C3 -> C3 -> C4 -> C3 -> C1,1
herbal-A,C1 -> C4,1
herbal-A,C1 -> C4 -> C0,1
herbal-A,C1 -> C4 -> C0 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C1 -> C4 -> C1 -> C1 -> C2 -> C1 -> C0,1
herbal-A,C1 -> C4 -> C1 -> C3,1
herbal-A,C1 -> C4 -> C3,1
herbal-A,C1 -> C4 -> C4 -> C2 -> C0,1
herbal-A,C2 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C2 -> C0 -> C0 -> C0 -> C2,1
herbal-A,C2 -> C0 -> C0 -> C0 -> C2 -> C2,1
herbal-A,C2 -> C0 -> C0 -> C2 -> C0,1
herbal-A,C2 -> C0 -> C1 -> C0 -> C0,1
herbal-A,C2 -> C0 -> C1 -> C1 -> C0,1
herbal-A,C2 -> C0 -> C1 -> C2,1
herbal-A,C2 -> C0 -> C1 -> C2 -> C2,1
herbal-A,C2 -> C0 -> C1 -> C2 -> C4 -> C1 -> C2 -> C2,1
herbal-A,C2 -> C0 -> C1 -> C3,1
herbal-A,C2 -> C0 -> C2 -> C0,1
herbal-A,C2 -> C0 -> C2 -> C0 -> C0 -> C0,1
herbal-A,C2 -> C0 -> C2 -> C2,1
herbal-A,C2 -> C0 -> C2 -> C2 -> C0,1
herbal-A,C2 -> C0 -> C2 -> C2 -> C1,1
herbal-A,C2 -> C0 -> C3 -> C0,1
herbal-A,C2 -> C0 -> C3 -> C0 -> C0,1
herbal-A,C2 -> C0 -> C3 -> C2 -> C2,1
herbal-A,C2 -> C0 -> C3 -> C3,1
herbal-A,C2 -> C0 -> C4,1
herbal-A,C2 -> C0 -> C4 -> C1 -> C1,1
herbal-A,C2 -> C1 -> C0 -> C1 -> C2 -> C2,1
herbal-A,C2 -> C1 -> C0 -> C2,1
herbal-A,C2 -> C1 -> C0 -> C2 -> C1,1
herbal-A,C2 -> C1 -> C1 -> C0 -> C0 -> C1,1
herbal-A,C2 -> C1 -> C1 -> C2 -> C1,1
herbal-A,C2 -> C1 -> C1 -> C2 -> C3,1
herbal-A,C2 -> C1 -> C2 -> C4,1
herbal-A,C2 -> C2 -> C0 -> C0,1
herbal-A,C2 -> C2 -> C0 -> C1,1
herbal-A,C2 -> C2 -> C0 -> C2,1
herbal-A,C2 -> C2 -> C1 -> C2 -> C1 -> C1,1
herbal-A,C2 -> C2 -> C1 -> C3 -> C1,1
herbal-A,C2 -> C2 -> C1 -> C3 -> C2 -> C2 -> C1 -> C2,1
herbal-A,C2 -> C2 -> C2 -> C0 -> C3 -> C1,1
herbal-A,C2 -> C2 -> C2 -> C1 -> C1,1
herbal-A,C2 -> C2 -> C2 -> C2 -> C1 -> C1 -> C2,1
herbal-A,C2 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C2 -> C2 -> C2 -> C2 -> C2 -> C1,1
herbal-A,C2 -> C2 -> C2 -> C2 -> C2 -> C2,1
herbal-A,C2 -> C2 -> C2 -> C3,1
herbal-A,C2 -> C2 -> C3 -> C1,1
herbal-A,C2 -> C2 -> C4 -> C2,1
herbal-A,C2 -> C3 -> C0,1
herbal-A,C2 -> C3 -> C1 -> C1 -> C2 -> C1 -> C2,1
herbal-A,C2 -> C3 -> C1 -> C1 -> C2 -> C2,1
herbal-A,C2 -> C3 -> C1 -> C1 -> C3,1
herbal-A,C2 -> C3 -> C1 -> C2,1
herbal-A,C2 -> C3 -> C3 -> C2,1
herbal-A,C3 -> C0 -> C0 -> C0,1
herbal-A,C3 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C3 -> C0 -> C0 -> C1 -> C2 -> C2,1
herbal-A,C3 -> C0 -> C1 -> C0,1
herbal-A,C3 -> C0 -> C1 -> C0 -> C2 -> C2 -> C1,1
herbal-A,C3 -> C0 -> C1 -> C1,1
herbal-A,C3 -> C0 -> C2 -> C0 -> C2 -> C0,1
herbal-A,C3 -> C0 -> C2 -> C2 -> C2 -> C0,1
herbal-A,C3 -> C0 -> C2 -> C4 -> C2,1
herbal-A,C3 -> C0 -> C3,1
herbal-A,C3 -> C0 -> C3 -> C0 -> C2 -> C2 -> C0 -> C0,1
herbal-A,C3 -> C0 -> C4 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C3 -> C0 -> C4 -> C1 -> C3 -> C2,1
herbal-A,C3 -> C1 -> C0 -> C3 -> C3 -> C2,1
herbal-A,C3 -> C1 -> C1,1
herbal-A,C3 -> C1 -> C1 -> C1,1
herbal-A,C3 -> C1 -> C1 -> C1 -> C1,1
herbal-A,C3 -> C1 -> C1 -> C2 -> C1,1
herbal-A,C3 -> C1 -> C1 -> C2 -> C3 -> C0 -> C3,1
herbal-A,C3 -> C1 -> C2,1
herbal-A,C3 -> C1 -> C3,1
herbal-A,C3 -> C1 -> C4,1
herbal-A,C3 -> C2 -> C0 -> C1,1
herbal-A,C3 -> C2 -> C1 -> C2,1
herbal-A,C3 -> C2 -> C2 -> C2 -> C0,1
herbal-A,C3 -> C2 -> C2 -> C4 -> C2,1
herbal-A,C3 -> C3 -> C0 -> C0 -> C0,1
herbal-A,C3 -> C3 -> C1 -> C1 -> C0,1
herbal-A,C3 -> C3 -> C3 -> C3,1
herbal-A,C3 -> C3 -> C3 -> C3 -> C0 -> C2,1
herbal-A,C3 -> C4 -> C0 -> C0,1
herbal-A,C3 -> C4 -> C0 -> C1 -> C0 -> C3 -> C1,1
herbal-A,C3 -> C4 -> C3,1
herbal-A,C4 -> C0 -> C0 -> C0,1
herbal-A,C4 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C4 -> C0 -> C0 -> C0 -> C0 -> C1,1
herbal-A,C4 -> C0 -> C0 -> C0 -> C0 -> C2 -> C0,1
herbal-A,C4 -> C0 -> C0 -> C2,1
herbal-A,C4 -> C0 -> C0 -> C3,1
herbal-A,C4 -> C0 -> C1 -> C0 -> C0,1
herbal-A,C4 -> C0 -> C2 -> C0,1
herbal-A,C4 -> C0 -> C2 -> C1 -> C1 -> C1,1
herbal-A,C4 -> C0 -> C2 -> C2 -> C1 -> C1 -> C0,1
herbal-A,C4 -> C0 -> C2 -> C3,1
herbal-A,C4 -> C0 -> C2 -> C3 -> C0,1
herbal-A,C4 -> C0 -> C3 -> C0,1
herbal-A,C4 -> C0 -> C4,1
herbal-A,C4 -> C0 -> C4 -> C0 -> C0,1
herbal-A,C4 -> C1,1
herbal-A,C4 -> C1 -> C0,1
herbal-A,C4 -> C1 -> C0 -> C4,1
herbal-A,C4 -> C1 -> C1 -> C1,1
herbal-A,C4 -> C1 -> C1 -> C3,1
herbal-A,C4 -> C1 -> C2,1
herbal-A,C4 -> C1 -> C2 -> C0,1
herbal-A,C4 -> C1 -> C2 -> C1 -> C2 -> C2,1
herbal-A,C4 -> C1 -> C4 -> C0,1
herbal-A,C4 -> C2 -> C0 -> C0 -> C1 -> C1,1
herbal-A,C4 -> C2 -> C1 -> C3,1
herbal-A,C4 -> C2 -> C2,1
herbal-A,C4 -> C2 -> C2 -> C0 -> C2 -> C2,1
herbal-A,C4 -> C3,1
herbal-A,C4 -> C3 -> C0,1
herbal-A,C4 -> C3 -> C0 -> C0,1
herbal-A,C4 -> C4,1
herbal-A,C4 -> C4 -> C0,1
herbal-A,C4 -> C4 -> C0 -> C0 -> C0,1
herbal-A,C4 -> C4 -> C0 -> C2,1
herbal-A,C4 -> C4 -> C2,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C4 -> C3 -> C0 -> C0 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C4,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C1 -> C4 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2 -> C1 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2 -> C3,1
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C3,1
pharm-herbal,C0 -> C0 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C4,1
pharm-herbal,C0 -> C0 -> C0 -> C1 -> C2 -> C2 -> C1 -> C2 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C1 -> C2 -> C3 -> C1 -> C2,1
pharm-herbal,C0 -> C0 -> C0 -> C1 -> C3,1
pharm-herbal,C0 -> C0 -> C0 -> C1 -> C3 -> C0 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C2,1
pharm-herbal,C0 -> C0 -> C0 -> C2 -> C2,1
pharm-herbal,C0 -> C0 -> C0 -> C2 -> C3 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0 -> C0,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0 -> C1 -> C0 -> C0 -> C0 -> C0 -> C3,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C0 -> C4 -> C0 -> C2 -> C4,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C4,1
pharm-herbal,C0 -> C0 -> C0 -> C3 -> C4 -> C1,1
pharm-herbal,C0 -> C0 -> C0 -> C4,1
pharm-herbal,C0 -> C0 -> C0 -> C4 -> C0,1
pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1 -> C1,1
pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1 -> C4 -> C0,1
pharm-herbal,C0 -> C0 -> C1 -> C0 -> C1,1
pharm-herbal,C0 -> C0 -> C1 -> C1,1
pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C1 -> C0,1
pharm-herbal,C0 -> C0 -> C2 -> C0 -> C2 -> C0,1
pharm-herbal,C0 -> C0 -> C2 -> C1 -> C1,1
pharm-herbal,C0 -> C0 -> C2 -> C2,1
pharm-herbal,C0 -> C0 -> C2 -> C3 -> C0,1
pharm-herbal,C0 -> C0 -> C3 -> C0 -> C2 -> C1 -> C3,1
pharm-herbal,C0 -> C0 -> C3 -> C1 -> C0 -> C4 -> C0 -> C3,1
pharm-herbal,C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3,1
pharm-herbal,C0 -> C0 -> C3 -> C3,1
pharm-herbal,C0 -> C0 -> C3 -> C3 -> C2,1
pharm-herbal,C0 -> C0 -> C4,1
pharm-herbal,C0 -> C0 -> C4 -> C0 -> C2 -> C2,1
pharm-herbal,C0 -> C0 -> C4 -> C0 -> C3,1
pharm-herbal,C0 -> C0 -> C4 -> C1,1
stars,C4 -> C2 -> C2 -> C1 -> C4 -> C2 -> C2,1
stars,C4 -> C2 -> C2 -> C1 -> C1 -> C2 -> C4 -> C1,1
stars,C4 -> C1 -> C2 -> C2 -> C2 -> C2 -> C2,1
pharm-herbal,C0 -> C1 -> C0 -> C0 -> C0,1
pharm-herbal,C0 -> C1 -> C0 -> C0 -> C0 -> C3,1
pharm-herbal,C0 -> C1 -> C0 -> C0 -> C2 -> C0 -> C3 -> C4 -> C3 -> C4,1
pharm-herbal,C0 -> C1 -> C0 -> C0 -> C3,1
pharm-herbal,C0 -> C1 -> C0 -> C0 -> C3 -> C0,1
pharm-herbal,C0 -> C1 -> C0 -> C1 -> C4 -> C0 -> C3 -> C3,1
pharm-herbal,C0 -> C1 -> C0 -> C4 -> C0 -> C1 -> C0 -> C4 -> C1 -> C3,1
stars,C4 -> C1 -> C3 -> C1 -> C1,1
stars,C4 -> C1 -> C3 -> C1 -> C1 -> C1 -> C1,1
pharm-herbal,C0 -> C1 -> C1 -> C0 -> C1,1
pharm-herbal,C0 -> C1 -> C1 -> C1,1
pharm-herbal,C0 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2,1
pharm-herbal,C0 -> C1 -> C1 -> C1 -> C2 -> C0 -> C1,1
pharm-herbal,C0 -> C1 -> C1 -> C1 -> C3 -> C0,1
pharm-herbal,C0 -> C1 -> C1 -> C2,1
pharm-herbal,C0 -> C1 -> C2 -> C2 -> C0 -> C1 -> C2,1
pharm-herbal,C0 -> C1 -> C2 -> C2 -> C1,1
pharm-herbal,C0 -> C1 -> C2 -> C4 -> C0,1
stars,C4 -> C1 -> C3 -> C2,1
pharm-herbal,C0 -> C1 -> C3 -> C0 -> C0,1
pharm-herbal,C0 -> C1 -> C3 -> C0 -> C3 -> C0 -> C0 -> C0 -> C0,1
pharm-herbal,C0 -> C1 -> C3 -> C2 -> C0 -> C3,1
stars,C4 -> C1 -> C3 -> C2 -> C1 -> C3,1
pharm-herbal,C0 -> C1 -> C4,1
stars,C4 -> C1 -> C3 -> C3 -> C2,1
pharm-herbal,C0 -> C2 -> C0,1
stars,C4 -> C1 -> C4,1
pharm-herbal,C0 -> C2 -> C0 -> C0 -> C1 -> C0,1
pharm-herbal,C0 -> C2 -> C0 -> C2,1
pharm-herbal,C0 -> C2 -> C0 -> C2 -> C2 -> C2,1
pharm-herbal,C0 -> C2 -> C0 -> C2 -> C2 -> C2 -> C1 -> C2,1
pharm-herbal,C0 -> C2 -> C1 -> C0 -> C1 -> C0 -> C2,1
pharm-herbal,C0 -> C2 -> C1 -> C0 -> C2,1
pharm-herbal,C0 -> C2 -> C1 -> C0 -> C3 -> C0 -> C0,1
pharm-herbal,C0 -> C2 -> C1 -> C1 -> C2 -> C2 -> C2,1
pharm-herbal,C0 -> C2 -> C1 -> C3 -> C0,1
stars,C4 -> C1 -> C4 -> C2,1
pharm-herbal,C0 -> C2 -> C2 -> C0 -> C1 -> C2 -> C1 -> C0 -> C1 -> C0,1
pharm-herbal,C0 -> C2 -> C2 -> C1 -> C2 -> C2,1
pharm-herbal,C0 -> C2 -> C2 -> C2 -> C1 -> C2 -> C1,1
pharm-herbal,C0 -> C2 -> C2 -> C2 -> C2 -> C2 -> C2,1
pharm-herbal,C0 -> C2 -> C3 -> C2 -> C2 -> C0 -> C0,1
stars,C4 -> C2 -> C0 -> C1 -> C2,1
stars,C4 -> C2 -> C1,1
stars,C4 -> C2 -> C1 -> C1 -> C1 -> C1 -> C3 -> C1,1
pharm-herbal,C0 -> C3 -> C0 -> C1 -> C0,1
pharm-herbal,C0 -> C3 -> C0 -> C3 -> C2 -> C2,1
stars,C4 -> C2 -> C1 -> C3,1
pharm-herbal,C0 -> C3 -> C2 -> C0,1
pharm-herbal,C0 -> C3 -> C3,1
pharm-herbal,C0 -> C3 -> C3 -> C0,1
pharm-herbal,C0 -> C3 -> C3 -> C1 -> C0 -> C0 -> C3 -> C4 -> C1 -> C0 -> C0 -> C1 -> C1,1
pharm-herbal,C0 -> C3 -> C3 -> C3 -> C1 -> C0,1
pharm-herbal,C0 -> C4 -> C0,1
pharm-herbal,C0 -> C4 -> C0 -> C0,1
pharm-herbal,C0 -> C4 -> C1 -> C0 -> C3 -> C0 -> C0,1
pharm-herbal,C0 -> C4 -> C1 -> C1,1
pharm-herbal,C0 -> C4 -> C1 -> C3,1
pharm-herbal,C0 -> C4 -> C2 -> C0 -> C1 -> C1 -> C0 -> C1 -> C1,1
pharm-herbal,C0 -> C4 -> C4 -> C1 -> C0 -> C0,1
stars,C4 -> C2 -> C1 -> C3 -> C1,1
stars,C4 -> C2 -> C2,1
balneo,C0 -> C0 -> C1 -> C1,1
pharm-herbal,C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C4 -> C0,1
pharm-herbal,C1 -> C0 -> C0 -> C0 -> C2,1
pharm-herbal,C1 -> C0 -> C0 -> C0 -> C3,1
pharm-herbal,C1 -> C0 -> C0 -> C1,1
pharm-herbal,C1 -> C0 -> C0 -> C2,1
pharm-herbal,C1 -> C0 -> C0 -> C2 -> C0 -> C0,1
pharm-herbal,C1 -> C0 -> C0 -> C3 -> C0 -> C1 -> C1,1
balneo,C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C0 -> C1 -> C1,1
pharm-herbal,C1 -> C0 -> C1 -> C1 -> C1 -> C2,1
pharm-herbal,C1 -> C0 -> C1 -> C1 -> C3,1
pharm-herbal,C1 -> C0 -> C2,1
pharm-herbal,C1 -> C0 -> C2 -> C1,1
pharm-herbal,C1 -> C0 -> C2 -> C1 -> C3 -> C2 -> C1 -> C2,1
pharm-herbal,C1 -> C0 -> C3,1
pharm-herbal,C1 -> C0 -> C3 -> C0,1
