section,trajectory,count
cosmo/zodiac,C0 -> C1 -> C0 -> C0,2
balneo,C0 -> C1 -> C4 -> C1,2
balneo,C1 -> C1 -> C3 -> C2 -> C1,2
herbal-A,C1 -> C0 -> C0 -> C2 -> C2,2
balneo,C1 -> C1 -> C4 -> C1 -> C1,2
balneo,C1 -> C1 -> C3 -> C3,2
balneo,C1 -> C3 -> C1 -> C1 -> C1 -> C1,2
herbal-A,C0 -> C1 -> C0 -> C1,2
herbal-A,C2 -> C2 -> C2 -> C2,2
balneo,C1 -> C3 -> C1 -> C1 -> C2,2
balneo,C1 -> C3 -> C1 -> C2 -> C1,2
cosmo/zodiac,C3 -> C1,2
balneo,C1 -> C3 -> C2,2
pharm-herbal,C0 -> C1 -> C1,2
pharm-herbal,C0 -> C1 -> C1 -> C0 -> C0 -> C0,2
pharm-herbal,C0 -> C1 -> C3,2
pharm-herbal,C0 -> C1 -> C3 -> C3,2
herbal-A,C0 -> C1 -> C0 -> C2 -> C0,2
pharm-herbal,C0 -> C2 -> C0 -> C0 -> C0,2
pharm-herbal,C0 -> C2 -> C2,2
balneo,C0 -> C4 -> C1 -> C1,2
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0,2
herbal-A,C0 -> C1 -> C0 -> C4,2
pharm-herbal,C0 -> C3 -> C1,2
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C0 -> C0,2
cosmo/zodiac,C0 -> C2 -> C1 -> C0 -> C0,2
cosmo/zodiac,C3 -> C1 -> C3,2
herbal-A,C0 -> C1 -> C1 -> C0 -> C0,2
pharm-herbal,C1 -> C1 -> C0,2
pharm-herbal,C1 -> C1 -> C0 -> C0 -> C1,2
pharm-herbal,C1 -> C1 -> C3,2
pharm-herbal,C1 -> C2 -> C2,2
pharm-herbal,C1 -> C3 -> C1 -> C2,2
balneo,C1 -> C0 -> C1 -> C1 -> C1 -> C1,2
pharm-herbal,C2 -> C0 -> C0 -> C0,2
pharm-herbal,C2 -> C2,2
pharm-herbal,C2 -> C2 -> C2 -> C2,2
cosmo/zodiac,C0 -> C2 -> C2,2
pharm-herbal,C3 -> C0 -> C0 -> C0 -> C1,2
pharm-herbal,C3 -> C2,2
pharm-herbal,C4 -> C0,2
rosettes,C0 -> C0,2
rosettes,C0 -> C0 -> C0,2
herbal-A,C3 -> C1,2
rosettes,C0 -> C2 -> C1,2
balneo,C1 -> C4 -> C1 -> C1 -> C1,2
rosettes,C1 -> C0 -> C1,2
rosettes,C1 -> C0 -> C1 -> C1,2
balneo,C1 -> C0 -> C1 -> C2,2
balneo,C1 -> C4 -> C2 -> C2 -> C1,2
balneo,C2 -> C0 -> C1 -> C1,2
rosettes,C1 -> C1 -> C1 -> C2 -> C2,2
rosettes,C1 -> C2,2
rosettes,C1 -> C2 -> C0,2
rosettes,C1 -> C2 -> C0 -> C1,2
rosettes,C1 -> C2 -> C2,2
rosettes,C2 -> C0,2
rosettes,C2 -> C0 -> C2,2
rosettes,C2 -> C2,2
pharm-herbal,C0 -> C0 -> C3 -> C0 -> C0 -> C0,2
cosmo/zodiac,C3 -> C2 -> C2 -> C2,2
stars,C0 -> C0 -> C0 -> C0,2
cosmo/zodiac,C3 -> C2 -> C3,2
stars,C0 -> C0 -> C2,2
herbal-A,C2 -> C0 -> C2 -> C0 -> C0,2
stars,C0 -> C1 -> C0,2
stars,C0 -> C1 -> C0 -> C0 -> C1,2
balneo,C1 -> C1 -> C0 -> C0 -> C1,2
stars,C0 -> C1 -> C1 -> C1 -> C1,2
stars,C0 -> C1 -> C2,2
balneo,C2 -> C1 -> C1 -> C0,2
cosmo/zodiac,C3 -> C3,2
stars,C0 -> C1 -> C2 -> C2 -> C2 -> C2,2
stars,C0 -> C2,2
stars,C0 -> C2 -> C0,2
stars,C0 -> C2 -> C1,2
herbal-A,C1 -> C2 -> C1 -> C2,2
stars,C0 -> C2 -> C2 -> C2,2
balneo,C2 -> C1 -> C1 -> C1 -> C1,2
balneo,C1 -> C1 -> C0 -> C1 -> C1 -> C1,2
stars,C0 -> C3 -> C0,2
stars,C0 -> C3 -> C1,2
stars,C1 -> C0,2
balneo,C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1,2
stars,C1 -> C0 -> C0 -> C0,2
stars,C1 -> C0 -> C1,2
herbal-A,C0 -> C2 -> C0 -> C0 -> C0 -> C0,2
stars,C1 -> C0 -> C1 -> C2 -> C1,2
herbal-A,C3 -> C1 -> C1 -> C2,2
herbal-A,C2 -> C0 -> C2 -> C3,2
herbal-A,C1 -> C1 -> C0,2
cosmo/zodiac,C1 -> C0 -> C1 -> C1,2
herbal-A,C0 -> C2 -> C0 -> C2,2
stars,C1 -> C1 -> C0 -> C2,2
stars,C1 -> C1 -> C0 -> C3 -> C2 -> C2,2
balneo,C1 -> C1 -> C1 -> C1 -> C1 -> C0,2
stars,C1 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1,2
herbal-A,C2 -> C0 -> C3 -> C0 -> C0 -> C0,2
balneo,C2 -> C2,2
stars,C1 -> C1 -> C1 -> C1 -> C1 -> C0 -> C1,2
stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1,2
balneo,C2 -> C2 -> C1 -> C3 -> C1,2
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0,2
stars,C1 -> C1 -> C1 -> C2 -> C1,2
stars,C1 -> C1 -> C1 -> C2 -> C1 -> C2,2
herbal-A,C0 -> C2 -> C1,2
stars,C1 -> C1 -> C1 -> C3 -> C2,2
stars,C1 -> C1 -> C2,2
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C1,2
balneo,C1 -> C1 -> C1 -> C1 -> C1 -> C4,2
stars,C1 -> C1 -> C3 -> C2,2
stars,C1 -> C1 -> C4,2
stars,C1 -> C2,2
herbal-A,C2 -> C4 -> C0,2
stars,C1 -> C2 -> C1,2
stars,C1 -> C2 -> C1 -> C1,2
stars,C1 -> C2 -> C1 -> C2,2
stars,C1 -> C2 -> C1 -> C3,2
stars,C1 -> C2 -> C2 -> C1 -> C0,2
stars,C1 -> C2 -> C2 -> C2,2
balneo,C1 -> C1 -> C1 -> C1 -> C2 -> C1,2
stars,C1 -> C3 -> C1 -> C2,2
stars,C1 -> C3 -> C3,2
balneo,C2 -> C3 -> C2,2
stars,C2 -> C0 -> C1,2
herbal-A,C0 -> C2 -> C1 -> C2,2
stars,C2 -> C0 -> C2 -> C2 -> C2,2
balneo,C3 -> C0 -> C1,2
herbal-A,C1 -> C1 -> C1 -> C1,2
balneo,C3 -> C1 -> C1 -> C0,2
balneo,C1 -> C1 -> C1 -> C2 -> C1 -> C1,2
balneo,C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C1,2
balneo,C3 -> C1 -> C1 -> C2,2
stars,C2 -> C2 -> C1,2
herbal-A,C0 -> C2 -> C2 -> C0 -> C0 -> C0,2
stars,C2 -> C2 -> C2 -> C1 -> C2,2
stars,C2 -> C2 -> C2 -> C2,2
stars,C2 -> C2 -> C2 -> C2 -> C2,2
stars,C2 -> C2 -> C3,2
stars,C3 -> C0 -> C1 -> C2 -> C1,2
balneo,C1 -> C1 -> C1 -> C2 -> C1 -> C2 -> C1 -> C1,2
cosmo/zodiac,C1 -> C1 -> C3 -> C1 -> C2,2
stars,C3 -> C1 -> C0 -> C1,2
stars,C3 -> C1 -> C1 -> C1,2
stars,C3 -> C1 -> C1 -> C1 -> C1 -> C2,2
stars,C3 -> C1 -> C1 -> C1 -> C3,2
stars,C3 -> C1 -> C1 -> C3,2
stars,C3 -> C1 -> C2 -> C1 -> C2,2
balneo,C1 -> C1 -> C1 -> C2 -> C2,2
stars,C3 -> C1 -> C3 -> C3,2
pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0,2
stars,C3 -> C2 -> C0,2
stars,C3 -> C2 -> C0 -> C2,2
stars,C3 -> C2 -> C1 -> C1,2
stars,C3 -> C2 -> C1 -> C1 -> C1 -> C1,2
herbal-A,C2 -> C1 -> C1,2
balneo,C1 -> C1 -> C1 -> C3,2
stars,C4 -> C1 -> C0 -> C1,2
balneo,C1 -> C1 -> C1 -> C3 -> C1,2
herbal-A,C0 -> C2 -> C3,2
stars,C4 -> C4,2
herbal-A,C0 -> C0 -> C0 -> C2 -> C0 -> C0,2
herbal-A,C3 -> C0 -> C0 -> C2,2
balneo,C0 -> C1 -> C1 -> C1,2
balneo,C0 -> C1 -> C1 -> C1 -> C1 -> C1,2
balneo,C1 -> C1 -> C1 -> C4 -> C3,1
balneo,C1 -> C1 -> C2 -> C0 -> C1,1
balneo,C1 -> C1 -> C2 -> C0 -> C2,1
balneo,C1 -> C1 -> C2 -> C0 -> C2 -> C1 -> C1 -> C1,1
balneo,C1 -> C1 -> C2 -> C1 -> C0 -> C2 -> C0,1
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C2,1
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C4 -> C1 -> C4 -> C1,1
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C3,1
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C4 -> C1 -> C1,1
balneo,C1 -> C1 -> C2 -> C1 -> C2 -> C0,1
balneo,C1 -> C1 -> C2 -> C1 -> C2 -> C1,1
balneo,C1 -> C1 -> C2 -> C1 -> C3 -> C1 -> C1,1
balneo,C1 -> C1 -> C2 -> C1 -> C3 -> C3 -> C0 -> C1,1
balneo,C1 -> C1 -> C2 -> C2 -> C0,1
balneo,C1 -> C1 -> C2 -> C2 -> C0 -> C1 -> C0 -> C1,1
balneo,C1 -> C1 -> C2 -> C2 -> C1 -> C1 -> C2,1
balneo,C1 -> C1 -> C2 -> C2 -> C2,1
balneo,C1 -> C1 -> C2 -> C2 -> C2 -> C4 -> C0 -> C0 -> C0,1
balneo,C1 -> C1 -> C2 -> C2 -> C3 -> C3,1
balneo,C1 -> C1 -> C2 -> C3,1
balneo,C1 -> C1 -> C2 -> C3 -> C0 -> C2 -> C1 -> C2 -> C2,1
balneo,C1 -> C1 -> C2 -> C3 -> C1 -> C2 -> C2 -> C1 -> C2,1
balneo,C1 -> C1 -> C2 -> C3 -> C3 -> C1 -> C1,1
balneo,C1 -> C1 -> C2 -> C4 -> C1,1
balneo,C1 -> C1 -> C2 -> C4 -> C2,1
balneo,C1 -> C1 -> C3 -> C1,1
balneo,C1 -> C1 -> C3 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C1 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C1 -> C1 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1,1
balneo,C1 -> C1 -> C3 -> C1 -> C2,1
balneo,C1 -> C1 -> C3 -> C1 -> C4 -> C1 -> C2 -> C0,1
balneo,C1 -> C1 -> C3 -> C2,1
balneo,C1 -> C1 -> C3 -> C2 -> C0 -> C1 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C2 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C2 -> C1 -> C3,1
balneo,C1 -> C1 -> C3 -> C3 -> C1 -> C1,1
balneo,C1 -> C1 -> C3 -> C3 -> C2,1
balneo,C1 -> C1 -> C4 -> C0 -> C2 -> C2,1
balneo,C1 -> C1 -> C4 -> C1,1
balneo,C1 -> C1 -> C4 -> C1 -> C1 -> C1,1
balneo,C1 -> C1 -> C4 -> C1 -> C2 -> C1 -> C3,1
balneo,C1 -> C1 -> C4 -> C4,1
balneo,C1 -> C2 -> C0 -> C0,1
balneo,C1 -> C2 -> C0 -> C1 -> C1 -> C1,1
balneo,C1 -> C2 -> C0 -> C1 -> C4 -> C1 -> C2,1
balneo,C1 -> C2 -> C1 -> C0,1
balneo,C1 -> C2 -> C1 -> C0 -> C2,1
balneo,C1 -> C2 -> C1 -> C0 -> C2 -> C2 -> C2 -> C2,1
balneo,C1 -> C2 -> C1 -> C1 -> C1 -> C1,1
balneo,C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C2,1
balneo,C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C3,1
balneo,C1 -> C2 -> C1 -> C1 -> C3 -> C3 -> C3,1
balneo,C1 -> C2 -> C1 -> C3,1
balneo,C1 -> C2 -> C1 -> C4,1
balneo,C1 -> C2 -> C2 -> C1 -> C1,1
balneo,C1 -> C2 -> C2 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1,1
balneo,C1 -> C2 -> C2 -> C1 -> C3,1
balneo,C1 -> C2 -> C2 -> C2 -> C1,1
balneo,C1 -> C2 -> C2 -> C3 -> C2,1
