num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,sections_present
29,Baqla Yamiinia,Bliton,Amaranthus blitum Linn.,Baqla Yamiinia Bliton Amaranthus blitum Linn.,False,True,True,False,second degree,According to Galen it is cold and moist in the second degree.,"According to Dioscorides, al-baqla al-Yamiiniah has no medicinal property but has moisture content like that in the goosefoot and in this respect it surpasses all other vegetables. It is more moist than lettuce and white pumpkin, has little nutritive value and does not get assimilated soon because of less boraceousness or alkalinity in it.",Chest|Ulcers|Temperament|Nature|Head|Swellings
30,Baqla Yahiidia,Jew's mallow,Malya rotundifolia Linn.,Baqla Yahiidia Jew's mallow Malya rotundifolia Linn.,False,False,False,False,,It has hotness which IS more than moderate in temperament.,,Temperament
31,Bal Cucumls,Sps.,,Bal Cucumls Sps.,True,False,False,True,second degree,It is hot and dry in the second degree and according to some physicians it is so in the third degree. Actions and properties: It is astringent and strengthens the viscera,A group of physicians state that bal is an Indian cucumber like caper cucumber. It is bitter in taste and resembles ginger.,Temperament|Nature|Joints
32,Baiiidur,,Marking nut,Baiiidur Marking nut Semecarpus anacardium Linn.,True,False,False,True,fourth degree,It is hot and dry in the last stage of the fourth degree.,"It is a fruit of Indian origm, resembling the tamarind stone. Its pulp is like that of walnut, sweetand harmless. The peelisflaccid with cavities full of a matter like viscous and fragrant honey. Some people chew it specially with walnuts and it does not harm them.",Cosmetics|Properties|Temperament|Joints|Nature|Head|Swellings|Poisons
33,Balbus,,Wild onion,Balbus Wild onion Scilla Sps.,False,False,False,False,,,"It is a kind of onion, is edible, small in size and resembles narcissus bulb. The leaves are like those of leek and the flowers like those of violet. One variety of balbiis induces vomiting. According to a group of physicians balbiis is the basi al-Ztr while another group",Cosmetics|Excretion|Properties|Ulcers|Nature|Head
34,Balsiin Balsam,,Commiphora opobalsamum,Balsiin Balsam Commiphora opobalsamum Engl,True,False,False,True,second degree,"The twig of balsiin is hot and dry in the second degree, the seeds are comparatively hotter (than the twig and the oil is hotter than both of them. The oil is hot in the first stage of the third degree. However, it does not produce heat as it is generally believed.",Balsiin is an Egyptian tree which grows only at one place called 'Ain ai-Shams'. Its leaves and smell resemble those of common rue (sadhab) but the leaves are whitish. In height it is like the hulja¢ tree (Ophthalmic barberry). The oil is better than the seed while the,Fevers|Properties|Choice|Temperament|Nature|Poisons
35,Bulla! Oak,,Quercus robur Linn.,Bulla! Oak Quercus robur Linn.,False,True,False,True,second degree,Bullis] is cold in the first and dry in the second degree. Shah bulliq has little hotness due to its sweetness. Leaves of bulliq are highly constipating but are less desiccant.,Oak is a well-known tree. In property it is astringent. Shah bullu! (a variety of Oak) is less astringent than bulliq (common Oak). The fruit and inner skin of an oak has highest astringency.,Food|Chest|Excretion|Properties|Ulcers|Temperament|Nature|Head|Swellings|Poisons
36,Ball/oj,,,Ball/oj,False,True,False,True,second degree,It is cold in the first and dry in the second degree.,It is somewhat like amlaj (Emblica afficinalis) in taste. The pulp is almost as sweet as hazelnut.,Properties|Excretion|Temperament|Nature
37,,,Bandt warddn,Bandt warddn Cockroach Periplaneta orientalis,False,False,False,False,,,,Fevers|Poisons
38,BanasjQn,,,BanasjQn,False,False,False,False,,,It acts as substitute for kasht barkasht (Screw tree). It is a kind of wood obtained from Zanj (Habsha).,Nature
