folio,section,pattern
f72v3,cosmo/zodiac,C1->C0->C1
f72v3,cosmo/zodiac,C0->C0->C0
f72v3,cosmo/zodiac,C0->C3->C0
f72v3,cosmo/zodiac,C0->C0->C0
f72v3,cosmo/zodiac,C3->C3->C3
f72v3,cosmo/zodiac,C3->C3->C3
f72v3,cosmo/zodiac,C3->C4->C3
f72v3,cosmo/zodiac,C3->C2->C3
f72v3,cosmo/zodiac,C2->C3->C2
f72v3,cosmo/zodiac,C3->C2->C3
f72v3,cosmo/zodiac,C2->C3->C2
f73r,cosmo/zodiac,C2->C3->C2
f73r,cosmo/zodiac,C4->C3->C4
f73r,cosmo/zodiac,C3->C4->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C0->C3
f73r,cosmo/zodiac,C0->C3->C0
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73r,cosmo/zodiac,C3->C3->C3
f73v,cosmo/zodiac,C0->C2->C0
f73v,cosmo/zodiac,C2->C2->C2
f73v,cosmo/zodiac,C1->C1->C1
f73v,cosmo/zodiac,C3->C1->C3
f73v,cosmo/zodiac,C2->C1->C2
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C2->C1->C2
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C4->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C2->C1->C2
f75r,balneo,C1->C3->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C4->C1
f75r,balneo,C1->C3->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C0->C1
f75r,balneo,C2->C2->C2
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C3->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C4->C1
f75r,balneo,C1->C2->C1
f75r,balneo,C2->C1->C2
f75r,balneo,C1->C2->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C2->C2->C2
f75r,balneo,C2->C2->C2
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
f75r,balneo,C1->C1->C1
