folio,section,locus,length,trajectory,cell_path,token_path
f34v,herbal-A,"4,+P0",7,C2 -> C3 -> C1 -> C1 -> C2 -> C1 -> C2,ch|bare|other -> ch|e|other -> sh|e|aspect -> qok|e|other -> ch|bare|other -> ch|e|aspect -> ot|bare|clitic,tchdaiin chekal shedy qokedar chdaiin chedy otam
f34v,herbal-A,"5,+P0",6,C1 -> C3 -> C1 -> C1 -> C3 -> C2,sh|e|aspect -> ch|e|other -> ch|e|aspect -> qok|bare|clitic -> ch|e|other -> ch|bare|other,shedy chechey chedy qokar chekaly chalky
f34v,herbal-A,"6,+P0",6,C1 -> C2 -> C1 -> C0 -> C1 -> C3,sh|e|clitic -> ch|bare|aspect -> qok|e|other -> ch|eo|o_grade -> ch|e|aspect -> ch|e|other,shear qokchdy qokees cheol chedy chedain
f34v,herbal-A,"7,+P0",7,C1 -> C4 -> C0 -> C1 -> C1 -> C2 -> C2,ch|e|aspect -> ch|e|e_grade -> ch|bare|e_grade -> qok|e|aspect -> ok|e|e_grade -> ch|bare|other -> ot|bare|paradigm,chedy chey chy qokedy okey chkain otain
f34v,herbal-A,"8,+P0",5,C2 -> C0 -> C3 -> C2 -> C2,ot|bare|clitic -> ch|o|other -> ch|e|other -> ch|bare|other -> ok|bare|clitic,otar choraiin cheky chdar okam
f34v,herbal-A,"9,+P0",6,C1 -> C2 -> C1 -> C1 -> C2 -> C1,qok|e|e_grade -> ch|bare|aspect -> ch|e|aspect -> qok|e|aspect -> ch|bare|aspect -> sh|bare|other,qokeey kchdy chedy qokedy chdy shs
f35r,herbal-A,"1,@P0",3,C0 -> C0 -> C2,ch|o|other -> ch|o|other -> ch|bare|clitic,choly choty char
f35r,herbal-A,"10,+P0",3,C0 -> C2 -> C0,ch|bare|paradigm -> ch|bare|o_grade -> ch|o|other,chaiin chl chochy
f35r,herbal-A,"11,+P0",2,C0 -> C0,ch|o|o_grade -> ch|bare|paradigm,chol chaiin
f35r,herbal-A,"12,+P0",4,C0 -> C0 -> C0 -> C4,ch|bare|e_grade -> ch|bare|paradigm -> ch|bare|e_grade -> ch|e|e_grade,chy chaiin chy kchey
f35r,herbal-A,"13,+P0",3,C0 -> C0 -> C0,qok|o|other -> ch|bare|paradigm -> ch|bare|paradigm,qokoiin chaiin qokchaiin
f35r,herbal-A,"14,+P0",4,C0 -> C0 -> C0 -> C1,ch|o|o_grade -> ch|bare|e_grade -> ch|o|o_grade -> qot|bare|paradigm,chol qotchy otchor qotaiin
f35r,herbal-A,"2,+P0",3,C1 -> C0 -> C0,qok|e|other -> ch|o|other -> ch|bare|e_grade,qokeeaiin chokaiin tchy
f35r,herbal-A,"3,+P0",2,C0 -> C4,ch|bare|paradigm -> ch|e|e_grade,dchaiin qotchey
f35r,herbal-A,"4,+P0",4,C0 -> C1 -> C0 -> C4,ch|bare|e_grade -> sh|e|other -> ch|bare|e_grade -> ch|e|e_grade,qotchy shet chy cheey
f35r,herbal-A,"5,+P0",3,C0 -> C0 -> C4,ch|o|o_grade -> sh|o|e_grade -> ch|e|e_grade,otchor sho tcheey
f35r,herbal-A,"6,+P0",2,C2 -> C2,ch|bare|clitic -> ch|bare|clitic,char chan
f35r,herbal-A,"7,+P0",3,C0 -> C0 -> C0,sh|o|other -> ch|o|o_grade -> ch|o|other,shosaiin tchor choky
f35r,herbal-A,"9,+P0",3,C2 -> C2 -> C0,ch|e|clitic -> ch|e|clitic -> sh|o|other,chear chear shorchaiin
f35v,herbal-A,"10,+P0",3,C4 -> C0 -> C0,ch|e|e_grade -> ch|o|other -> sh|o|other,okcheey chosar shory
f35v,herbal-A,"11,+P0",2,C3 -> C0,ch|e|other -> ch|o|other,qotcheeaiin chodaiin
f35v,herbal-A,"13,+P0",2,C2 -> C2,ch|bare|clitic -> ch|e|clitic,char chear
f35v,herbal-A,"14,+P0",2,C0 -> C0,ch|e|paradigm -> sh|bare|e_grade,tcheain shy
