from_cell,to_cell,allowed
ch|bare|e_grade,qok|bare|other,1
ch|bare|e_grade,qok|bare|paradigm,1
ch|bare|e_grade,qok|eo|aspect,0
ch|bare|e_grade,qok|eo|e_grade,0
ch|bare|e_grade,qok|eo|o_grade,0
ch|bare|e_grade,qok|eo|other,0
ch|bare|e_grade,qok|e|aspect,1
ch|bare|e_grade,qok|e|clitic,0
ch|bare|e_grade,qok|e|e_grade,1
ch|bare|e_grade,qok|e|o_grade,0
ch|bare|e_grade,qok|e|other,1
ch|bare|e_grade,qok|e|paradigm,0
ch|bare|e_grade,qok|o|aspect,0
ch|bare|e_grade,qok|o|e_grade,0
ch|bare|e_grade,qok|o|o_grade,1
ch|bare|e_grade,qok|o|other,1
ch|bare|e_grade,qok|o|paradigm,0
ch|bare|e_grade,qot|bare|clitic,1
ch|bare|e_grade,qot|bare|e_grade,1
ch|bare|e_grade,qot|bare|o_grade,0
ch|bare|e_grade,qot|bare|other,0
ch|bare|e_grade,qot|bare|paradigm,1
ch|bare|e_grade,qot|eo|aspect,0
ch|bare|e_grade,qot|eo|clitic,0
ch|bare|e_grade,qot|eo|e_grade,0
ch|bare|e_grade,qot|eo|o_grade,1
ch|bare|e_grade,qot|eo|other,0
ch|bare|e_grade,qot|e|aspect,1
ch|bare|e_grade,qot|e|clitic,0
ch|bare|e_grade,qot|e|e_grade,1
ch|bare|e_grade,qot|e|other,0
ch|bare|e_grade,qot|o|aspect,1
ch|bare|e_grade,qot|o|e_grade,1
ch|bare|e_grade,qot|o|o_grade,1
ch|bare|e_grade,qot|o|other,1
ch|bare|e_grade,sh|bare|aspect,0
ch|bare|e_grade,sh|bare|clitic,1
ch|bare|e_grade,sh|bare|e_grade,1
ch|bare|e_grade,sh|bare|o_grade,0
ch|bare|e_grade,sh|bare|other,1
ch|bare|e_grade,sh|bare|paradigm,1
ch|bare|e_grade,sh|eo|aspect,0
ch|bare|e_grade,sh|eo|clitic,0
ch|bare|e_grade,sh|eo|e_grade,1
ch|bare|e_grade,sh|eo|o_grade,0
ch|bare|e_grade,sh|eo|other,0
ch|bare|e_grade,sh|e|aspect,0
ch|bare|e_grade,sh|e|clitic,0
ch|bare|e_grade,sh|e|e_grade,1
ch|bare|e_grade,sh|e|o_grade,0
ch|bare|e_grade,sh|e|other,1
ch|bare|e_grade,sh|e|paradigm,1
ch|bare|e_grade,sh|o|aspect,1
ch|bare|e_grade,sh|o|clitic,0
ch|bare|e_grade,sh|o|e_grade,1
ch|bare|e_grade,sh|o|o_grade,1
ch|bare|e_grade,sh|o|other,1
ch|bare|e_grade,sh|o|paradigm,0
ch|bare|o_grade,ch|bare|aspect,0
ch|bare|o_grade,ch|bare|clitic,1
ch|bare|o_grade,ch|bare|e_grade,0
ch|bare|o_grade,ch|bare|o_grade,0
ch|bare|o_grade,ch|bare|other,1
ch|bare|o_grade,ch|bare|paradigm,0
ch|bare|o_grade,ch|eo|aspect,0
ch|bare|o_grade,ch|eo|clitic,0
ch|bare|o_grade,ch|eo|e_grade,0
ch|bare|o_grade,ch|eo|o_grade,1
ch|bare|o_grade,ch|eo|other,0
ch|bare|o_grade,ch|eo|paradigm,0
ch|bare|o_grade,ch|e|aspect,0
ch|bare|o_grade,ch|e|clitic,1
ch|bare|o_grade,ch|e|e_grade,0
ch|bare|o_grade,ch|e|o_grade,0
ch|bare|o_grade,ch|e|other,1
ch|bare|o_grade,ch|e|paradigm,1
ch|bare|o_grade,ch|o|aspect,0
ch|bare|o_grade,ch|o|clitic,0
ch|bare|o_grade,ch|o|e_grade,0
ch|bare|o_grade,ch|o|o_grade,1
ch|bare|o_grade,ch|o|other,1
ch|bare|o_grade,ch|o|paradigm,0
ch|bare|o_grade,ok|bare|aspect,0
ch|bare|o_grade,ok|bare|clitic,0
ch|bare|o_grade,ok|bare|e_grade,0
ch|bare|o_grade,ok|bare|o_grade,0
ch|bare|o_grade,ok|bare|other,0
ch|bare|o_grade,ok|bare|paradigm,1
ch|bare|o_grade,ok|eo|aspect,0
ch|bare|o_grade,ok|eo|clitic,0
ch|bare|o_grade,ok|eo|e_grade,0
ch|bare|o_grade,ok|eo|o_grade,1
ch|bare|o_grade,ok|eo|other,0
ch|bare|o_grade,ok|eo|paradigm,0
ch|bare|o_grade,ok|e|aspect,0
ch|bare|o_grade,ok|e|clitic,0
ch|bare|o_grade,ok|e|e_grade,0
ch|bare|o_grade,ok|e|other,0
ch|bare|o_grade,ok|e|paradigm,0
ch|bare|o_grade,ok|o|aspect,0
ch|bare|o_grade,ok|o|e_grade,0
ch|bare|o_grade,ok|o|o_grade,0
ch|bare|o_grade,ok|o|other,0
