token,section,position,relative_position,prev_cell,next_cell,prev_comm,next_comm
dchol,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchsychotchy,herbal-A,2,1.0,ch|o|o_grade,,C0,UNK
dcho,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchog,herbal-A,3,1.0,ch|o|other,,C0,UNK
dcheolchotchody,herbal-A,5,1.0,ch|bare|other,,C2,UNK
dchor,herbal-A,0,0.0,,sh|o|o_grade,UNK,C0
dchedy,herbal-A,0,0.0,,ok|bare|paradigm,UNK,C2
dcheodaiin,herbal-A,0,0.0,,ch|o|aspect,UNK,C0
dshody,herbal-A,0,0.0,,qok|o|o_grade,UNK,C0
dchom,herbal-A,3,1.0,ch|e|e_grade,,C4,UNK
dchom,herbal-A,4,1.0,sh|o|o_grade,,C0,UNK
dshey,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchy,herbal-A,2,0.67,qot|e|other,qot|o|other,C1,C0
dcheain,herbal-A,0,0.0,,ch|eo|o_grade,UNK,C0
dchykey,herbal-A,0,0.0,,ch|bare|clitic,UNK,C2
dchos,cosmo/zodiac,0,0.0,,ch|eo|other,UNK,C0
dshdy,cosmo/zodiac,4,0.36,ot|e|e_grade,ot|bare|e_grade,C3,C2
dshaly,cosmo/zodiac,1,0.5,qot|bare|other,ch|o|other,C1,C0
dshodal,cosmo/zodiac,0,0.0,,ch|bare|clitic,UNK,C2
dcholy,cosmo/zodiac,0,0.0,,ch|o|o_grade,UNK,C0
dshor,cosmo/zodiac,0,0.0,,sh|o|other,UNK,C0
dchol,cosmo/zodiac,0,0.0,,ch|o|other,UNK,C0
dchair,cosmo/zodiac,0,0.0,,ot|bare|clitic,UNK,C2
dchol,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dshedy,cosmo/zodiac,0,0.0,,ok|eo|aspect,UNK,C1
dsheol,cosmo/zodiac,0,0.0,,ok|bare|paradigm,UNK,C2
dsholdaiir,cosmo/zodiac,0,0.0,,sh|bare|other,UNK,C1
dcheol,cosmo/zodiac,5,0.71,sh|e|e_grade,ch|e|other,C1,C3
dshal,cosmo/zodiac,0,0.0,,qok|bare|e_grade,UNK,C1
dshey,cosmo/zodiac,1,0.2,ch|e|aspect,sh|e|aspect,C1,C1
dcheeky,cosmo/zodiac,4,0.8,ok|e|aspect,qot|bare|clitic,C1,C2
dchekeedy,cosmo/zodiac,0,0.0,,ch|eo|aspect,UNK,C0
dchschdy,cosmo/zodiac,13,0.93,ch|bare|other,ot|bare|other,C2,C2
dcheeos,cosmo/zodiac,0,0.0,,qok|e|other,UNK,C1
dchor,cosmo/zodiac,0,0.0,,ok|bare|other,UNK,C2
dchy,cosmo/zodiac,0,0.0,,ch|bare|other,UNK,C2
dchyky,cosmo/zodiac,1,0.25,ch|bare|e_grade,ok|e|aspect,C0,C1
dcholal,cosmo/zodiac,4,1.0,ch|eo|clitic,,C0,UNK
dchedy,cosmo/zodiac,10,0.43,ch|o|other,ot|e|aspect,C0,C1
dcheeo,cosmo/zodiac,13,0.57,ot|e|aspect,ok|eo|other,C1,C3
dchy,cosmo/zodiac,0,0.0,,ch|bare|e_grade,UNK,C0
dchokchy,cosmo/zodiac,0,0.0,,ok|e|e_grade,UNK,C1
dshol,cosmo/zodiac,1,1.0,ch|bare|e_grade,,C0,UNK
dcheeody,cosmo/zodiac,1,0.5,ot|e|e_grade,ot|e|e_grade,C3,C3
dchey,cosmo/zodiac,0,0.0,,qok|e|e_grade,UNK,C1
dcheey,cosmo/zodiac,2,0.67,qok|e|e_grade,ch|bare|clitic,C1,C2
dchaiin,cosmo/zodiac,0,0.0,,sh|e|e_grade,UNK,C1
dcheedy,cosmo/zodiac,2,0.4,sh|e|e_grade,qok|e|e_grade,C1,C1
dcheey,cosmo/zodiac,0,0.0,,ch|bare|other,UNK,C2
dchol,cosmo/zodiac,25,0.96,ch|bare|other,ch|bare|other,C2,C2
dchokey,cosmo/zodiac,0,0.0,,sh|bare|other,UNK,C1
dcho,cosmo/zodiac,0,0.0,,ch|bare|clitic,UNK,C2
dchor,cosmo/zodiac,21,0.95,ot|e|other,ch|bare|clitic,C3,C2
dchy,cosmo/zodiac,11,0.61,ot|eo|aspect,ot|o|other,C3,C2
dchor,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchy,herbal-A,1,0.5,sh|bare|other,ok|o|other,C1,C0
dcheoky,cosmo/zodiac,11,0.65,ch|o|other,ot|bare|other,C0,C2
dshy,cosmo/zodiac,2,0.67,ch|eo|other,ch|e|other,C0,C3
dchy,cosmo/zodiac,6,0.25,ch|o|other,ch|o|other,C0,C0
dchsaiin,cosmo/zodiac,4,0.22,sh|eo|other,sh|o|o_grade,C0,C0
dshor,balneo,0,0.0,,qot|bare|clitic,UNK,C2
dshedy,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dshedy,balneo,0,0.0,,qok|e|e_grade,UNK,C1
dshedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dchedy,balneo,0,0.0,,ok|e|aspect,UNK,C1
dcheedy,balneo,0,0.0,,qok|e|e_grade,UNK,C1
dshedy,balneo,0,0.0,,qot|bare|other,UNK,C1
dshedy,balneo,0,0.0,,ch|e|aspect,UNK,C1
dshdy,balneo,5,0.71,qot|e|aspect,ok|bare|clitic,C1,C2
dshedy,balneo,1,0.25,sh|e|other,sh|e|aspect,C1,C1
dchedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dshol,balneo,0,0.0,,qok|bare|paradigm,UNK,C1
dchedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dshedy,balneo,0,0.0,,qot|bare|paradigm,UNK,C1
dsheedal,balneo,1,0.2,ch|bare|aspect,qok|bare|clitic,C2,C1
dsheedy,balneo,1,0.33,ch|bare|other,ch|e|aspect,C2,C1
dcheol,balneo,0,0.0,,ch|e|aspect,UNK,C1
dcheol,balneo,0,0.0,,sh|e|e_grade,UNK,C1
dshedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dchckhedy,balneo,0,0.0,,ch|bare|aspect,UNK,C2
dshedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dshedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dshedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dchokol,balneo,0,0.0,,ch|e|aspect,UNK,C1
dchdy,balneo,1,1.0,sh|e|aspect,,C1,UNK
dchor,balneo,0,0.0,,ot|bare|paradigm,UNK,C2
dshdy,balneo,2,0.33,sh|e|e_grade,ch|bare|clitic,C1,C2
dchol,balneo,2,0.67,ch|bare|other,ch|bare|e_grade,C2,C0
dchy,balneo,3,1.0,ch|o|o_grade,,C0,UNK
dchedy,balneo,0,0.0,,sh|e|aspect,UNK,C1
dshey,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dcheey,herbal-A,0,0.0,,sh|o|o_grade,UNK,C0
dshoy,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchodaiin,herbal-A,0,0.0,,ch|bare|e_grade,UNK,C0
dcheol,balneo,0,0.0,,sh|e|aspect,UNK,C1
dshedy,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dchedy,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dchol,balneo,0,0.0,,sh|e|aspect,UNK,C1
dchey,balneo,0,0.0,,qok|o|o_grade,UNK,C0
dshedy,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dchedy,balneo,0,0.0,,qok|bare|paradigm,UNK,C1
dshees,balneo,0,0.0,,ok|bare|paradigm,UNK,C2
dsholyd,balneo,5,1.0,ok|bare|e_grade,,C2,UNK
dchsed,balneo,0,0.0,,qot|bare|e_grade,UNK,C0
dshedy,balneo,0,0.0,,sh|e|other,UNK,C1
dchedy,balneo,3,1.0,qok|bare|e_grade,,C1,UNK
dchdy,balneo,4,1.0,ch|e|aspect,,C1,UNK
dsheol,balneo,0,0.0,,ch|e|other,UNK,C3
dshedy,balneo,0,0.0,,qot|e|e_grade,UNK,C1
dchedy,balneo,0,0.0,,qok|bare|paradigm,UNK,C1
dshedy,balneo,0,0.0,,qok|bare|clitic,UNK,C1
dshedy,balneo,0,0.0,,qok|bare|paradigm,UNK,C1
dcheokedy,balneo,0,0.0,,sh|bare|other,UNK,C1
dsheol,balneo,0,0.0,,ch|eo|o_grade,UNK,C0
dchdy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dsheyteey,balneo,0,0.0,,sh|e|aspect,UNK,C1
dshedy,balneo,0,0.0,,sh|e|aspect,UNK,C1
dsheedy,balneo,0,0.0,,ot|e|aspect,UNK,C1
dchedy,balneo,0,0.0,,qok|e|aspect,UNK,C1
dshey,balneo,0,0.0,,ot|e|aspect,UNK,C1
dsheey,balneo,0,0.0,,qok|e|aspect,UNK,C1
dchey,balneo,3,0.75,ch|bare|aspect,ok|e|e_grade,C2,C1
dshedy,rosettes,3,0.5,ch|bare|aspect,ch|e|other,C2,C3
dchefoey,rosettes,4,0.67,sh|e|aspect,sh|e|aspect,C1,C1
dchdal,rosettes,1,0.5,sh|bare|other,ch|o|o_grade,C1,C0
dcheody,rosettes,0,0.0,,sh|e|e_grade,UNK,C1
dsheody,rosettes,0,0.0,,ch|e|e_grade,UNK,C4
dchedy,rosettes,0,0.0,,ch|bare|aspect,UNK,C2
dchey,rosettes,0,0.0,,ot|bare|paradigm,UNK,C2
dshedy,rosettes,0,0.0,,sh|e|e_grade,UNK,C1
