x,y,section,trajectory
7.32491,8.464085,stars,C2 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C3 -> C2
5.0558825,4.148876,stars,C1 -> C2 -> C0
7.2171903,8.501407,stars,C0 -> C3 -> C1 -> C1 -> C2 -> C1 -> C1 -> C3 -> C3 -> C2
7.354529,8.494059,stars,C1 -> C1 -> C2 -> C4 -> C3 -> C1 -> C2 -> C3
7.3660793,8.624373,stars,C1 -> C1 -> C0 -> C1 -> C1
7.378321,8.54433,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C1 -> C1 -> C1
7.3248324,8.742509,stars,C1 -> C2 -> C1 -> C1 -> C2 -> C4
7.43917,8.634357,stars,C1 -> C0 -> C1 -> C2 -> C1
7.2992406,8.723306,stars,C1 -> C0 -> C1 -> C2 -> C2 -> C2 -> C2 -> C2
7.315746,8.6080475,stars,C1 -> C1 -> C2 -> C1 -> C2 -> C3 -> C2
7.460533,8.48487,stars,C0 -> C2 -> C2 -> C1 -> C1 -> C1 -> C2 -> C2 -> C2
6.0597687,8.9126425,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1
7.401819,8.534236,stars,C1 -> C3 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1
-5.2406716,25.582851,stars,C0 -> C3
7.318031,8.911919,stars,C0 -> C4 -> C0 -> C1 -> C1
7.3330708,8.702796,stars,C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C3 -> C1
7.114672,8.744068,stars,C1 -> C0 -> C0 -> C1 -> C2 -> C2 -> C1
7.179809,8.675591,stars,C3 -> C1 -> C1 -> C2 -> C3 -> C1 -> C1
7.1648407,9.086771,stars,C1 -> C2 -> C1 -> C3
7.2272277,8.7213745,stars,C1 -> C1 -> C1 -> C1 -> C2 -> C3
7.3351727,8.543185,stars,C1 -> C1 -> C1 -> C0 -> C0 -> C1 -> C1 -> C2
7.351748,8.6787,stars,C0 -> C1 -> C1 -> C3 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1
7.340175,8.790817,stars,C1 -> C0 -> C0 -> C2
7.312299,8.847954,stars,C2 -> C1 -> C2 -> C1 -> C1 -> C1 -> C3 -> C0 -> C1
30.279108,-0.3619093,stars,C1 -> C1 -> C1 -> C1
7.375659,8.860087,stars,C1 -> C1 -> C0 -> C1 -> C1 -> C1 -> C1
7.3085203,8.730614,stars,C0 -> C1 -> C0 -> C0 -> C1 -> C1 -> C1 -> C3
4.502659,3.6308906,stars,C3 -> C1
7.4176664,8.772557,stars,C0 -> C1 -> C1 -> C1 -> C0
7.2671866,8.878652,stars,C1 -> C1 -> C1 -> C0 -> C1 -> C1 -> C1
7.355965,9.120339,stars,C3 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1 -> C1
7.3665767,8.850205,stars,C1 -> C4 -> C4 -> C1 -> C1 -> C1 -> C4 -> C1
7.2692304,8.955602,stars,C3 -> C1 -> C0
7.184667,8.898196,stars,C3 -> C1 -> C0 -> C3 -> C2
