num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,actions_text,sections_present
58,lfayyah,,,lfayyah,False,False,False,False,,The flesh of a serpent is desiccant but its warmth is not so intense. The slough is also very desiccant.,"The serpent is used after it is boiled with water, salt and dill. Sometimes olive oil is also added to it. The salt and slough of the serpent possess properties similar to itsflesh.We shall discuss various kinds of serpents in Book IV.","The chief characteristic of its flesh isthatit swiftly pushes the morbid matters towards skin especially when the person is not""clean"". Once a man consumed the flesh of serpent and, as a result, a large abscess appeared on his neck but when the abscess was cut open there were numerous lice in it.Consumption of the flesh of serpent promotes longevity, strengthens vigour and maintains the senses and",Choice|Cosmetics|Eye|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
2,Khdmdldiin (obyo{l),Pine Thistle Atractylisgummifera,,Khdmdldiin (obyo{l) Pine Thistle Atractylisgummifera,False,False,False,False,,,,Pine thistle is not to betaken orallybut should be used externally.Itis one of the externaldetergentdrugs which is also used in softening and dissolving plasters.,Cosmetics|Excretion|Food|Poisons|Properties|Ulcers
3,Khiiniq ol-dhi'b Wolf bane,,Aconitum napellus Linn,Khiiniq ol-dhi'b Wolf bane Aconitum napellus Linn,False,False,False,False,,,,"Wolf bane causes suffocationto the wolves, pigs and dogs. Itis putrefactiveand thus it is not permissible forboth external and internal use.Wolf bane is also calledqiitil al-dhi'b (wolf-killer).Ithas been discussedunder the letterQiif",Properties
5,,,Khaniq al-namir,Khaniq al-namir,False,False,True,False,,,"According to Dioscorideskhiiniq al-namiris a herb having thin, long andunbreakablebranches. Ithas leaves similar to those of lablab exceptthatthey are finer, more sharp edged, strong in odour and full of viscous yellow moist contents.Panther'sbane has an ovule resembling the pod of a bean of one finger long.It has small, black andhard seeds.",It causes suffocation to thepanthersand leopards etc. Itis not permissible for external and internal uses.,Nature|Poisons|Properties
6,Khubbiizi Jews mallow,,Malva rotundifolia Linn.,Khubbiizi Jews mallow Malva rotundifolia Linn.,True,True,True,True,first degree,"Itis cold and moist in the first degree but the garden mallow is said to be hot and dry. Paulos was the physician, who stated this, and it is likelythathe might have referred tobaqla yahiidiawhich also bears the name 'Jews mallow'.",Jews mallow is a kind ofmuliikhid. Itis saidtbatthe wild variety is the Jews mallow and garden variety ismuliikhia.There is another kind of Jews mallow calledmuliskhia al-shajarahwhich is nothing butkhatmi i.e. marsh mallow.Itis also described as baqla yahudiawhich is possibly one of its red kinds.,"Itis laxative and moreattenuantthan sarmaq i.e. goose foot; thicker thansilqi.e, beet and the wild variety of Jews mallow is moreattenuantand dry. It is saidthat the garden variety is slightly warming. Due to its moistness and viscosity, it gets digested quickly specially when used with garumand olive oil. Its digestion is moderate and its moisture is said to be thicker than the lettuce. Paulos de",Chest|Choice|Excretion|Eye|Food|Head|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
7,,Khabth Dross Scoria,,Khabth Dross Scoria,False,False,False,True,third degree,Iron and copper drosses are dry in the third degree and allother drosses are less in hotness.,,All the drosses aredesiccant;the iron dross is most desiccant. All types of drossabsorb moisture. Swelling:Iron dross dissolves hotswellings.,Choice|Cosmetics|Excretion|Eye|Food|Poisons|Properties|Swellings|Temperament|Ulcers
9,Khariittn Earthworm Lumbricus Sps.,,,Khariittn Earthworm Lumbricus Sps.,True,False,False,False,,In my opinion earthworms are hot.,,,Excretion|Food|Head|Temperament|Ulcers
10,Kharbaq abyad White hellebore Veratrum virideAiton.,,,Kharbaq abyad White hellebore Veratrum virideAiton.,True,True,False,True,third degree,White hellebore is hot and dry in the middle stage of the third degree. .,"The barks of white hellebore are small, brittle like a cracked and decayed substance, white in colour and light in weight. It resembles the roots of marsh mallow and is more bitter than black hellebore. Its plant is like the great plantain or beet but smaller than the former. It is red in colour. The length of its stem is equivalent to four joined fingers. The stem is hollow. It has numerous branc",The white variety is more bitter and the black one is hotter. A rat dies instantly after itsconsumption. Thus it is a reliable device to kill the rats.Itis given to rats with honey andsawiq. (flour of roasted wheat or barley). Cooking with it lacerates the meat. An infusion of weaker type of hellebore is made by soaking fivedarakh midt (20 gm) of its chopped quantity in nineiiwiiq(270 gm) of rain ,Choice|Cosmetics|Excretion|Eye|Food|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
12,Khardal BlackMustard Brassicajuncea (Linn.),,,Khardal BlackMustard Brassicajuncea (Linn.),True,False,False,True,fourth degree,It is hot and dry in the fourth degree.,Mustard is a well known herb.,Mustard is anti-phlegmatic. Its oil is warmer than thatof radish. The fumes are insect-repellent. The wild variety produces inferior humour. It is a detergent and dissolvent drug. Its cooked leaves and roots are used.,Cosmetics|Excretion|Eye|Fevers|Food|Head|Joints|Nature|Properties|Swellings|Temperament|Ulcers
13,Kharniib Nabatean carob,,Ceratonia siliqua Linn.,Kharniib Nabatean carob Ceratonia siliqua Linn.,False,False,False,True,,"The Syrian kharniibis desiccant and astringent. The fruits are also similar to it intemperament but are sweeter in taste. Beside these qualities, it causesconstipationalso. TheNabatean kharniibis intensely desiccant and drying and causes noirritation. Itis taken fresh and thehumour produced by it is heavy and inferior in quality.",,,Choice|Cosmetics|Excretion|Food|Head|Temperament
